FASTVC-BENCH-CORPUS:chromium-main-v1-943b94ae-1c74-4335-94fa-ceb4d277cea8
This is a testharness.js-based test.
Harness Error. harness_status.status = 1 , harness_status.message = 1 duplicate test name: "The size of text-combine elements in vertical flow."
PASS text-combine should not affect in horizontal flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
PASS The size of text-combine elements in vertical flow. 
Harness: the test ran to completion.

