FASTVC-BENCH-CORPUS:chromium-main-v1-943b94ae-1c74-4335-94fa-ceb4d277cea8
CONSOLE MESSAGE: DOMNodeRemoved is deprecated. Use MutationObservers instead.
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
CONSOLE MESSAGE: line 1: Uncaught SyntaxError: Unexpected token |
PASS
