FASTVC-BENCH-CORPUS:chromium-main-v1-943b94ae-1c74-4335-94fa-ceb4d277cea8
EDITING DELEGATE: webViewDidChangeSelection:WebViewDidChangeSelectionNotification
EDITING DELEGATE: webViewDidChangeSelection:WebViewDidChangeSelectionNotification
EDITING DELEGATE: webViewDidChangeSelection:WebViewDidChangeSelectionNotification
EDITING DELEGATE: webViewDidEndEditing:WebViewDidEndEditingNotification
This test moves caret between lines of different editabilities.

Initial condition:
| "
Line 1<#selection-caret> editable"
| <div>
|   contenteditable="false"
|   "Uneditable div 1"
| "
Line 2 editable"
| <div>
|   contenteditable="false"
|   "Uneditable div 2"
| "
Line 3 editable"

After moving forward by line:
| "
Line 1 editable"
| <div>
|   contenteditable="false"
|   "Uneditable div 1"
| "
Line 2<#selection-caret> editable"
| <div>
|   contenteditable="false"
|   "Uneditable div 2"
| "
Line 3 editable"

After moving forward by line:
| "
Line 1 editable"
| <div>
|   contenteditable="false"
|   "Uneditable div 1"
| "
Line 2 editable"
| <div>
|   contenteditable="false"
|   "Uneditable div 2"
| "
Line 3<#selection-caret> editable"

After moving forward by line:
| "
Line 1 editable"
| <div>
|   contenteditable="false"
|   "Uneditable div 1"
| "
Line 2 editable"
| <div>
|   contenteditable="false"
|   "Uneditable div 2"
| "
Line 3 editable<#selection-caret>"
