FASTVC-BENCH-CORPUS:chromium-main-v1-943b94ae-1c74-4335-94fa-ceb4d277cea8
SVG 1.1 dynamic animation tests
Test SVGStitchOptions/TurbulenceType enumeration animations

On success, you will see a series of "PASS" messages, followed by "TEST COMPLETE".


PASS turbulence.type.animVal is SVGFETurbulenceElement.SVG_TURBULENCE_TYPE_FRACTALNOISE
PASS turbulence.type.baseVal is SVGFETurbulenceElement.SVG_TURBULENCE_TYPE_FRACTALNOISE
PASS turbulence.stitchTiles.animVal is SVGFETurbulenceElement.SVG_STITCHTYPE_STITCH
PASS turbulence.stitchTiles.baseVal is SVGFETurbulenceElement.SVG_STITCHTYPE_STITCH
PASS turbulence.type.animVal is SVGFETurbulenceElement.SVG_TURBULENCE_TYPE_FRACTALNOISE
PASS turbulence.type.baseVal is SVGFETurbulenceElement.SVG_TURBULENCE_TYPE_FRACTALNOISE
PASS turbulence.stitchTiles.animVal is SVGFETurbulenceElement.SVG_STITCHTYPE_STITCH
PASS turbulence.stitchTiles.baseVal is SVGFETurbulenceElement.SVG_STITCHTYPE_STITCH
PASS turbulence.type.animVal is SVGFETurbulenceElement.SVG_TURBULENCE_TYPE_TURBULENCE
PASS turbulence.type.baseVal is SVGFETurbulenceElement.SVG_TURBULENCE_TYPE_FRACTALNOISE
PASS turbulence.stitchTiles.animVal is SVGFETurbulenceElement.SVG_STITCHTYPE_NOSTITCH
PASS turbulence.stitchTiles.baseVal is SVGFETurbulenceElement.SVG_STITCHTYPE_STITCH
PASS turbulence.type.animVal is SVGFETurbulenceElement.SVG_TURBULENCE_TYPE_TURBULENCE
PASS turbulence.type.baseVal is SVGFETurbulenceElement.SVG_TURBULENCE_TYPE_FRACTALNOISE
PASS turbulence.stitchTiles.animVal is SVGFETurbulenceElement.SVG_STITCHTYPE_NOSTITCH
PASS turbulence.stitchTiles.baseVal is SVGFETurbulenceElement.SVG_STITCHTYPE_STITCH
PASS turbulence.type.animVal is SVGFETurbulenceElement.SVG_TURBULENCE_TYPE_FRACTALNOISE
PASS turbulence.type.baseVal is SVGFETurbulenceElement.SVG_TURBULENCE_TYPE_FRACTALNOISE
PASS turbulence.stitchTiles.animVal is SVGFETurbulenceElement.SVG_STITCHTYPE_STITCH
PASS turbulence.stitchTiles.baseVal is SVGFETurbulenceElement.SVG_STITCHTYPE_STITCH
PASS successfullyParsed is true

TEST COMPLETE

