FASTVC-BENCH-CORPUS:chromium-main-v1-943b94ae-1c74-4335-94fa-ceb4d277cea8
SVG 1.1 dynamic animation tests
test
Test SVGTextPathSpacingType/SVGTextPathMethodType enumeration animations

On success, you will see a series of "PASS" messages, followed by "TEST COMPLETE".


PASS textPath.method.animVal is SVGTextPathElement.TEXTPATH_METHODTYPE_ALIGN
PASS textPath.method.baseVal is SVGTextPathElement.TEXTPATH_METHODTYPE_ALIGN
PASS textPath.spacing.animVal is SVGTextPathElement.TEXTPATH_SPACINGTYPE_AUTO
PASS textPath.spacing.baseVal is SVGTextPathElement.TEXTPATH_SPACINGTYPE_AUTO
PASS textPath.method.animVal is SVGTextPathElement.TEXTPATH_METHODTYPE_ALIGN
PASS textPath.method.baseVal is SVGTextPathElement.TEXTPATH_METHODTYPE_ALIGN
PASS textPath.spacing.animVal is SVGTextPathElement.TEXTPATH_SPACINGTYPE_AUTO
PASS textPath.spacing.baseVal is SVGTextPathElement.TEXTPATH_SPACINGTYPE_AUTO
PASS textPath.method.animVal is SVGTextPathElement.TEXTPATH_METHODTYPE_STRETCH
PASS textPath.method.baseVal is SVGTextPathElement.TEXTPATH_METHODTYPE_ALIGN
PASS textPath.spacing.animVal is SVGTextPathElement.TEXTPATH_SPACINGTYPE_EXACT
PASS textPath.spacing.baseVal is SVGTextPathElement.TEXTPATH_SPACINGTYPE_AUTO
PASS textPath.method.animVal is SVGTextPathElement.TEXTPATH_METHODTYPE_STRETCH
PASS textPath.method.baseVal is SVGTextPathElement.TEXTPATH_METHODTYPE_ALIGN
PASS textPath.spacing.animVal is SVGTextPathElement.TEXTPATH_SPACINGTYPE_EXACT
PASS textPath.spacing.baseVal is SVGTextPathElement.TEXTPATH_SPACINGTYPE_AUTO
PASS textPath.method.animVal is SVGTextPathElement.TEXTPATH_METHODTYPE_STRETCH
PASS textPath.method.baseVal is SVGTextPathElement.TEXTPATH_METHODTYPE_ALIGN
PASS textPath.spacing.animVal is SVGTextPathElement.TEXTPATH_SPACINGTYPE_EXACT
PASS textPath.spacing.baseVal is SVGTextPathElement.TEXTPATH_SPACINGTYPE_AUTO
PASS successfullyParsed is true

TEST COMPLETE

