FASTVC-BENCH-CORPUS:chromium-main-v1-943b94ae-1c74-4335-94fa-ceb4d277cea8
\bboulevard\b	bv
\bcarretera\b	ca
\bnortheast\b	ne
\bnorthwest\b	no
\bsoutheast\b	se
\bsouthwest\b	so
\bcircuito\b	circuit
\bnoroeste\b	no
\bponiente\b	pte
\bsuroeste\b	so
\bavenida\b	av
\blateral\b	lat
\bnoreste\b	ne
\boriente\b	ote
\bsendero\b	path
\bsureste\b	se
\bcamino\b	cno
\bde\s+los\b	
\bpasaje\b	pje
\bstreet\b	calle
\bnorte\b	no
\bnorth\b	no
\boeste\b	pte
\bsouth\b	sur
\beast\b	ote
\beste\b	ote
\bwest\b	pte
\bdel\b	
\blas\b	
\blos\b	
\bnte\b	no
\bde\b	
\bel\b	
\bla\b	
\bnw\b	no
\bsw\b	so
